"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Mdk",17242,"midkine, transcript variant 6","ENSMUSG00000027239","Mek","2","protein_coding","decreased circulating glucose level","MDK"
"Penk",18619,"preproenkephalin, transcript variant X1","ENSMUSG00000045573","ENK","4","protein_coding","abnormal bone structure","PENK"
"Cirbp",12696,"cold inducible RNA binding protein, transcript variant X2","ENSMUSG00000045193","Cirp","10","protein_coding","abnormal cell cycle","CIRBP"
"Aloxe3",23801,"arachidonate lipoxygenase 3, transcript variant X4","ENSMUSG00000020892","e-LOX-3","11","protein_coding","abnormal lymph node morphology","ALOXE3"
"Nudt5",53893,"nudix (nucleoside diphosphate linked moiety X)-type motif 5","ENSMUSG00000025817",NA,"2","protein_coding","thick ventricular wall","NUDT5"
"Serpinb1a",66222,"serine (or cysteine) peptidase inhibitor, clade B, member 1a","ENSMUSG00000044734","1190005M04Rik","13","protein_coding","abnormal chemokine secretion","SERPINB1"
"Mt1",17748,"metallothionein 1, transcript variant X1","ENSMUSG00000031765","Mt-1","8","protein_coding","hypoactivity","MT1G"
"Fgfr3",14184,"fibroblast growth factor receptor 3, transcript variant 2","ENSMUSG00000054252","Fgfr-3","5","protein_coding","abnormal Deiters cell morphology","FGFR3"
"Myo1d",338367,"myosin ID, transcript variant X3","ENSMUSG00000035441","9930104H07Rik","11","protein_coding","decreased bone mineral content","MYO1D"
"Cd99l2",171486,"CD99 antigen-like 2, transcript variant X4","ENSMUSG00000035776","Mic2l1","X","protein_coding","abnormal cellular extravasation","CD99L2"
"C2cd2",207781,"C2 calcium-dependent domain containing 2","ENSMUSG00000045975","5830404H04Rik","16","protein_coding",NA,"C2CD2"
"Brsk2",75770,"BR serine/threonine kinase 2, transcript variant 4","ENSMUSG00000053046","4833424K13Rik","7","protein_coding","no abnormal phenotype detected","BRSK2"
"Mrrf",67871,"mitochondrial ribosome recycling factor","ENSMUSG00000026887","2400002D02Rik","2","protein_coding",NA,"MRRF"
"Snhg4",100503380,"small nucleolar RNA host gene 4","ENSMUSG00000117869","Gm17457","18","lncRNA",NA,NA
"Hmgcs1",208715,"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1, transcript variant 1","ENSMUSG00000093930","B130032C06Rik","13","protein_coding","preweaning lethality complete penetrance","HMGCS1"
"Stk17b",98267,"serine/threonine kinase 17b (apoptosis-inducing), transcript variant X1","ENSMUSG00000026094","3110009A03Rik","1","protein_coding","abnormal cytokine secretion","STK17B"
"Cyp51",13121,"cytochrome P450, family 51","ENSMUSG00000001467",NA,"5","protein_coding","abnormal cardiovascular system physiology","CYP51A1"
"Gria4",14802,"glutamate receptor, ionotropic, AMPA4 (alpha 4), transcript variant X1","ENSMUSG00000025892","Glur-4","9","protein_coding","abnormal AMPA-mediated synaptic currents","GRIA4"
"Ttyh1",57776,"tweety homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000030428","4930459B04Rik","7","protein_coding","abnormal cell nucleus morphology","TTYH1"
"Slc13a1",55961,"solute carrier family 13 (sodium/sulfate symporters), member 1","ENSMUSG00000029700","Nas1","6","protein_coding","abnormal enzyme/coenzyme activity","SLC13A1"
"Phf7",71838,"PHD finger protein 7, transcript variant X3","ENSMUSG00000021902","1700006H01Rik","14","protein_coding","male infertility","PHF7"
"Get4",67604,"golgi to ER traffic protein 4 homolog (S. cerevisiae), transcript variant 1","ENSMUSG00000025858","1110007L15Rik","5","protein_coding","decreased startle reflex","GET4"
"Gstm1",14862,"glutathione S-transferase, mu 1","ENSMUSG00000058135","Gstb-1","3","protein_coding","abnormal auditory brainstem response","GSTM1"
"Fbxo31",76454,"F-box protein 31, transcript variant X2","ENSMUSG00000052934","1110003O08Rik","8","protein_coding","impaired glucose tolerance","FBXO31"
"Padi2",18600,"peptidyl arginine deiminase, type II, transcript variant X1","ENSMUSG00000028927","PAD type II","4","protein_coding","decreased circulating serum albumin level","PADI2"
"Gnmt",14711,"glycine N-methyltransferase","ENSMUSG00000002769","glycine N methyl transferase","17","protein_coding","abnormal amino acid level","GNMT"
"Paip2b",232164,"poly(A) binding protein interacting protein 2B","ENSMUSG00000045896",NA,"6","protein_coding",NA,"PAIP2B"
"Slc17a9",228993,"solute carrier family 17, member 9, transcript variant X4","ENSMUSG00000023393","1700019H03Rik","2","protein_coding","abnormal eye morphology","SLC17A9"
"Vopp1",232023,"vesicular, overexpressed in cancer, prosurvival protein 1","ENSMUSG00000037788",NA,"6","protein_coding","abnormal startle reflex","VOPP1"
"Ogdhl",239017,"oxoglutarate dehydrogenase-like, transcript variant X2","ENSMUSG00000021913",NA,"14","protein_coding",NA,"OGDHL"
"Dcaf12",68970,"DDB1 and CUL4 associated factor 12","ENSMUSG00000028436","1500001L20Rik","4","protein_coding","increased aggression","DCAF12"
"Rorc",19885,"RAR-related orphan receptor gamma, transcript variant X3","ENSMUSG00000028150","RORgamma","3","protein_coding","abnormal CD4-positive alpha beta T cell morphology","RORC"
"Cp",12870,"ceruloplasmin, transcript variant X2","ENSMUSG00000003617","D3Ertd555e","3","protein_coding","abnormal sleep behavior","CP"
"Jade2",76901,"jade family PHD finger 2, transcript variant X4","ENSMUSG00000020387","1200017K05Rik","11","protein_coding","decreased bone mineral content","JADE2"
"Nbl1",17965,"neuroblastoma, suppression of tumorigenicity 1, transcript variant X2","ENSMUSG00000041120","D4H1S1733E","4","protein_coding","abnormal pain threshold","NBL1"
"Hsph1",15505,"heat shock 105kDa/110kDa protein 1, transcript variant X3","ENSMUSG00000029657","hsp-E7I","5","protein_coding","abnormal cell physiology","HSPH1"
"Serf2",378702,"small EDRK-rich factor 2, transcript variant 3","ENSMUSG00000074884","4F5rel (4F5 related)","2","protein_coding","increased prepulse inhibition",NA
"Rasgef1a",70727,"RasGEF domain family, member 1A, transcript variant X2","ENSMUSG00000030134","6330404M18Rik","6","protein_coding",NA,"RASGEF1A"
"Prrg1",546336,"proline rich Gla (G-carboxyglutamic acid) 1, transcript variant 1","ENSMUSG00000047996","2010007L08Rik","X","protein_coding",NA,"PRRG1"
"Etnppl",71760,"ethanolamine phosphate phospholyase, transcript variant 2","ENSMUSG00000019232","1300019H02Rik","3","protein_coding",NA,"ETNPPL"
"Cyp4f15",106648,"cytochrome P450, family 4, subfamily f, polypeptide 15, transcript variant X1","ENSMUSG00000073424",NA,"17","protein_coding",NA,"CYP4F2"
"Ankrd29",225187,"ankyrin repeat domain 29","ENSMUSG00000057766","G630054C21Rik","18","protein_coding",NA,"ANKRD29"
"Gm27252",102634962,"predicted gene 27252, transcript variant X11","ENSMUSG00000098708",NA,"7","lncRNA",NA,NA
"Kctd2",70382,"potassium channel tetramerisation domain containing 2","ENSMUSG00000016940","2310012I15Rik","11","protein_coding",NA,"KCTD2"
"Iigp1",60440,"interferon inducible GTPase 1, transcript variant X2","ENSMUSG00000054072","2900074L10Rik","18","protein_coding","increased susceptibility to parasitic infection",NA
"Ak4",11639,"adenylate kinase 4, transcript variant 1","ENSMUSG00000028527","Ak-3","4","protein_coding",NA,"AK4P3"
"Idh2",269951,"isocitrate dehydrogenase 2 (NADP+), mitochondrial","ENSMUSG00000030541","Idh-2","7","protein_coding","long tibia","IDH2"
"Camkk1",55984,"calcium/calmodulin-dependent protein kinase kinase 1, alpha, transcript variant X2","ENSMUSG00000020785","CaMKKalpha","11","protein_coding","abnormal contextual conditioning behavior","CAMKK1"
"Rftn2",74013,"raftlin family member 2, transcript variant X4","ENSMUSG00000025978","2700010E02Rik","1","protein_coding",NA,"RFTN2"
"Igtp",16145,"interferon gamma induced GTPase","ENSMUSG00000078853","Irgm3","11","protein_coding","increased circulating interferon-gamma level","IRGM"
"Bche",12038,"butyrylcholinesterase, transcript variant X1","ENSMUSG00000027792","C730038G20Rik","3","protein_coding","increased physiological sensitivity to xenobiotic","BCHE"
"Marcks",17118,"myristoylated alanine rich protein kinase C substrate","ENSMUSG00000069662","Macs","10","protein_coding","abnormal anterior commissure morphology","MARCKS"
"Pabpc4",230721,"poly(A) binding protein, cytoplasmic 4, transcript variant X4","ENSMUSG00000011257",NA,"4","protein_coding","abnormal spine curvature","PABPC4"
"Pmp22",18858,"peripheral myelin protein 22, transcript variant 3","ENSMUSG00000018217","Gas-3","11","protein_coding","abnormal Schwann cell morphology","PMP22"
"Car14",23831,"carbonic anhydrase 14, transcript variant X2","ENSMUSG00000038526","CA XIV","3","protein_coding","abnormal retina morphology","CA14"
"Serpinh1",12406,"serine (or cysteine) peptidase inhibitor, clade H, member 1, transcript variant 3","ENSMUSG00000070436","Cbp1","7","protein_coding","abnormal embryonic neuroepithelium morphology","SERPINH1"
"Ppp1r13b",21981,"protein phosphatase 1, regulatory (inhibitor) subunit 13B, transcript variant X1","ENSMUSG00000021285","ASPP1","12","protein_coding","abnormal lymph circulation","PPP1R13B"
"Tfrc",22042,"transferrin receptor","ENSMUSG00000022797","2610028K12Rik","16","protein_coding","abnormal gait","TFRC"
"Smox",228608,"spermine oxidase, transcript variant X7","ENSMUSG00000027333","B130066H01Rik","2","protein_coding","no abnormal phenotype detected","SMOX"
"Tjap1",74094,"tight junction associated protein 1, transcript variant 4","ENSMUSG00000012296","0610041D19Rik","17","protein_coding",NA,"TJAP1"
"Msmo1",66234,"methylsterol monoxygenase 1","ENSMUSG00000031604","1500001G16Rik","8","protein_coding",NA,"MSMO1"
"Slc26a8",224661,"solute carrier family 26, member 8","ENSMUSG00000036196",NA,"17","protein_coding","abnormal sperm annulus morphology","SLC26A8"
"Eml3",225898,"echinoderm microtubule associated protein like 3","ENSMUSG00000071647",NA,"19","protein_coding",NA,"EML3"
"Csf2ra",12982,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage), transcript variant X6","ENSMUSG00000059326","CD116","19","protein_coding",NA,"CSF2RA"
"Rnf141",67150,"ring finger protein 141, transcript variant X5","ENSMUSG00000030788","2610110L04Rik","7","protein_coding","decreased litter size","RNF141"
"Slc25a16",73132,"solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16","ENSMUSG00000071253","3110021G18Rik","10","protein_coding",NA,"SLC25A16"
"Echdc1",52665,"enoyl Coenzyme A hydratase domain containing 1, transcript variant X1","ENSMUSG00000019883","1700028A24Rik","10","protein_coding","increased bone mineral density","ECHDC1"
"Eid2b",434156,"EP300 interacting inhibitor of differentiation 2B","ENSMUSG00000070705","3010005C08Rik","7","protein_coding",NA,"EID2B"
"Piga",18700,"phosphatidylinositol glycan anchor biosynthesis, class A, transcript variant X2","ENSMUSG00000031381","phosphatidylinositolglycan class A","X","protein_coding","abnormal brain development","PIGA"
"Ccdc149",100503884,"coiled-coil domain containing 149, transcript variant X1","ENSMUSG00000045790","Gm447","5","protein_coding",NA,"CCDC149"
"Car15",80733,"carbonic anhydrase 15","ENSMUSG00000090236","Cals2","16","protein_coding",NA,NA
"Eny2",223527,"enhancer of yellow 2 homolog (Drosophila), transcript variant X1","ENSMUSG00000022338","1810057B09Rik","15","protein_coding",NA,"ENY2"
"Mroh1",223658,"maestro heat-like repeat family member 1, transcript variant X13","ENSMUSG00000022558","D330001F17Rik","15","protein_coding",NA,"MROH1"
"Pcyox1l",240334,"prenylcysteine oxidase 1 like, transcript variant X1","ENSMUSG00000024579",NA,"18","protein_coding","abnormal auditory brainstem response","PCYOX1L"
"Ankrd39",109346,"ankyrin repeat domain 39","ENSMUSG00000079610","9130416N05Rik","1","protein_coding",NA,"ANKRD39"
"Timeless",21853,"timeless circadian clock 1, transcript variant 4","ENSMUSG00000039994","tim","10","protein_coding","preweaning lethality complete penetrance","TIMELESS"
"Sparc",20692,"secreted acidic cysteine rich glycoprotein, transcript variant 2","ENSMUSG00000018593","BM-40","11","protein_coding","abnormal coat/ hair morphology","SPARC"
"Slc7a10",53896,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 10, transcript variant X2","ENSMUSG00000030495","Asc-1","7","protein_coding","abnormal CNS synaptic transmission","SLC7A10"
"Ppp1r2",66849,"protein phosphatase 1, regulatory (inhibitor) subunit 2","ENSMUSG00000047714","0610025N14Rik","16","protein_coding","abnormal response to novel object","PPP1R2B"
"Psmf1",228769,"proteasome (prosome, macropain) inhibitor subunit 1","ENSMUSG00000032869","PI31","2","protein_coding","preweaning lethality complete penetrance","PSMF1"
"Adat1",30947,"adenosine deaminase, tRNA-specific 1, transcript variant X1","ENSMUSG00000031949","mADAT1","8","protein_coding",NA,"ADAT1"
"Slc6a12",14411,"solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12, transcript variant X2","ENSMUSG00000030109","BGT1","6","protein_coding",NA,"SLC6A12"
"Snhg3",399101,"small nucleolar RNA host gene 3","ENSMUSG00000085241","Rnu17d","4","lncRNA",NA,NA
"Prg4",96875,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein), transcript variant 2","ENSMUSG00000006014","DOL54","1","protein_coding","abnormal joint morphology","PRG4"
"Plod1",18822,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1","ENSMUSG00000019055","2410042F05Rik","4","protein_coding","decreased bone mineral density","PLOD1"
"Whamm",434204,"WAS protein homolog associated with actin, golgi membranes and microtubules, transcript variant X1","ENSMUSG00000045795","Whdc1","7","protein_coding","decreased fasting circulating glucose level","WHAMM"
"Ttpa",50500,"tocopherol (alpha) transfer protein, transcript variant X1","ENSMUSG00000073988","alpha TTP","4","protein_coding","abnormal eye electrophysiology","TTPA"
"Thbs3",21827,"thrombospondin 3, transcript variant X1","ENSMUSG00000028047","Thbs-3","3","protein_coding","abnormal femur morphology","THBS3"
"Gltp",56356,"glycolipid transfer protein","ENSMUSG00000011884","1110001F24Rik","5","protein_coding",NA,"GLTP"
"Pex6",224824,"peroxisomal biogenesis factor 6","ENSMUSG00000002763","D130055I09Rik","17","protein_coding","abnormal iris morphology","PEX6"
"Aim2",383619,"absent in melanoma 2, transcript variant X2","ENSMUSG00000037860","Ifi210","1","protein_coding","abnormal cytokine secretion","AIM2"
"Ednrb",13618,"endothelin receptor type B, transcript variant 2","ENSMUSG00000022122","ETb","14","protein_coding","abnormal Deiters cell morphology","EDNRB"
"Nuf2",66977,"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)","ENSMUSG00000026683","2410003C07Rik","1","protein_coding",NA,"NUF2"
"Mog",17441,"myelin oligodendrocyte glycoprotein","ENSMUSG00000076439","B230317G11Rik","17","protein_coding","abnormal T-helper 1 physiology","MOG"
"Ccl27a",20301,"chemokine (C-C motif) ligand 27A, transcript variant 1","ENSMUSG00000073888","ALP","4","protein_coding","decreased circulating bilirubin level","CCL27"
"Tac4",93670,"tachykinin 4","ENSMUSG00000020872","hemokinin I (HK-1)","11","protein_coding","increased pro-B cell number","TAC4"
"Snhg8",69895,"small nucleolar RNA host gene 8","ENSMUSG00000104960","1110065M07Rik","3","lncRNA",NA,NA
"Ak6",102216272,"adenylate kinase 6","ENSMUSG00000078941","2810046E22Rik","13","protein_coding",NA,"TAF9"
"Kctd20",66989,"potassium channel tetramerisation domain containing 20, transcript variant X1","ENSMUSG00000005936","2410004N11Rik","17","protein_coding",NA,"KCTD20"
"Itgb4",192897,"integrin beta 4, transcript variant 2","ENSMUSG00000020758","CD104","11","protein_coding","abnormal cornea morphology","ITGB4"
"Zfp810",235050,"zinc finger protein 810, transcript variant X2","ENSMUSG00000066829",NA,"9","protein_coding",NA,NA
"Gm33489",102636424,"predicted gene, 33489, transcript variant X2","ENSMUSG00000113252",NA,"13","lncRNA",NA,NA
"Gna12",14673,"guanine nucleotide binding protein, alpha 12","ENSMUSG00000000149","Galpha12","5","protein_coding","no abnormal phenotype detected","GNA12"
"Cyp4v3",102294,"cytochrome P450, family 4, subfamily v, polypeptide 3","ENSMUSG00000079057",NA,"8","protein_coding","abnormal eye morphology","CYP4V2"
"Pkp4",227937,"plakophilin 4, transcript variant 1","ENSMUSG00000026991","5031422I09Rik","2","protein_coding","abnormal bone structure","PKP4"
"Agpat1",55979,"1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha), transcript variant X1","ENSMUSG00000034254","1-AGP","17","protein_coding","decreased circulating calcium level","AGPAT1"
"Gipr",381853,"gastric inhibitory polypeptide receptor, transcript variant X3","ENSMUSG00000030406","glucose-dependent insulinotropic polypeptide receptor","7","protein_coding","abnormal glucose homeostasis","GIPR"
"Edn3",13616,"endothelin 3","ENSMUSG00000027524","114-CH19","2","protein_coding","abnormal colon morphology","EDN3"
"Prr15",78004,"proline rich 15","ENSMUSG00000045725","E130201N16Rik","6","protein_coding",NA,"PRR15"
"Traf1",22029,"TNF receptor-associated factor 1, transcript variant X3","ENSMUSG00000026875","4732496E14Rik","2","protein_coding","abnormal lymph node cell ratio","TRAF1"
